Point	Segment	Pseudotime	Trajectories_1	Trajectories_2	Trajectories_3	Trajectories_4	Trajectories_5	Trajectories_6	Trajectories_7	Trajectory_15__46	Trajectory_15__47	Trajectory_15__48	Trajectory_15__49	Trajectory_15__50	Trajectory_15__51	Trajectory_15__52	Trajectory_15__53
822	1	1.48690622817328	48							0	0	1	0	0	0	0	0
823	0	3.4337949848462	46							1	0	0	0	0	0	0	0
824	11	11	47							0	1	0	0	0	0	0	0
825	1	3.08044916837868	48							0	0	1	0	0	0	0	0
826	1	4.07058947480087	48							0	0	1	0	0	0	0	0
827	1	7.57023542818731	48							0	0	1	0	0	0	0	0
828	2	1.9469318924775	47	49	50	51	52	53		0	1	0	1	1	1	1	1
829	1	8.7234583899008	48							0	0	1	0	0	0	0	0
830	0	2.12777955239304	46							1	0	0	0	0	0	0	0
831	1	0.84083237475204	48							0	0	1	0	0	0	0	0
832	2	1.77398396196363	47	49	50	51	52	53		0	1	0	1	1	1	1	1
833	0	3.88167450115569	46							1	0	0	0	0	0	0	0
834	1	0.166069532569275	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
835	1	0.216929364366611	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
836	1	8	48							0	0	1	0	0	0	0	0
837	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
838	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
839	0	3.65041363944829	46							1	0	0	0	0	0	0	0
840	1	3	48							0	0	1	0	0	0	0	0
841	2	2.38869466616564	47	49	50	51	52	53		0	1	0	1	1	1	1	1
842	2	1.52932189389547	47	49	50	51	52	53		0	1	0	1	1	1	1	1
843	1	2.19408640346384	48							0	0	1	0	0	0	0	0
844	1	0.666594485466979	48							0	0	1	0	0	0	0	0
845	1	1.44522187089619	48							0	0	1	0	0	0	0	0
846	1	0.469764467624801	48							0	0	1	0	0	0	0	0
847	12	5.42354702151689	49							0	0	0	1	0	0	0	0
848	0	2	46							1	0	0	0	0	0	0	0
849	11	10.1871017160294	47							0	1	0	0	0	0	0	0
850	8	10.1214385145297	53							0	0	0	0	0	0	0	1
851	1	0.133930905711561	48							0	0	1	0	0	0	0	0
852	1	4	48							0	0	1	0	0	0	0	0
853	0	3.21113601784103	46							1	0	0	0	0	0	0	0
854	0	3.43362218299221	46							1	0	0	0	0	0	0	0
855	1	4	48							0	0	1	0	0	0	0	0
856	0	1	46							1	0	0	0	0	0	0	0
857	1	3.75791085580462	48							0	0	1	0	0	0	0	0
858	2	2.60268276072815	47	49	50	51	52	53		0	1	0	1	1	1	1	1
859	0	1	46							1	0	0	0	0	0	0	0
860	1	1.82818523797237	48							0	0	1	0	0	0	0	0
861	1	1.71878888501707	48							0	0	1	0	0	0	0	0
862	1	2	48							0	0	1	0	0	0	0	0
863	1	7.02895678984523	48							0	0	1	0	0	0	0	0
864	1	4	48							0	0	1	0	0	0	0	0
865	1	6	48							0	0	1	0	0	0	0	0
866	1	0.708438931831321	48							0	0	1	0	0	0	0	0
867	1	8.12038591203372	48							0	0	1	0	0	0	0	0
868	1	0.611229067757121	48							0	0	1	0	0	0	0	0
869	12	5.00263954833369	49							0	0	0	1	0	0	0	0
870	1	3.85263939686011	48							0	0	1	0	0	0	0	0
871	1	7	48							0	0	1	0	0	0	0	0
872	0	1.35411955617978	46							1	0	0	0	0	0	0	0
873	1	1	48							0	0	1	0	0	0	0	0
874	1	8.46096662872511	48							0	0	1	0	0	0	0	0
875	1	9	48							0	0	1	0	0	0	0	0
876	1	0.014489683266806	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
877	1	2	48							0	0	1	0	0	0	0	0
878	1	8.42282641286852	48							0	0	1	0	0	0	0	0
879	1	0.107023067806675	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
880	0	3.71509350440155	46							1	0	0	0	0	0	0	0
881	0	1.60036701731395	46							1	0	0	0	0	0	0	0
882	12	6	49							0	0	0	1	0	0	0	0
883	1	8	48							0	0	1	0	0	0	0	0
884	1	0.226726139483231	48							0	0	1	0	0	0	0	0
885	1	1.4105718250224	48							0	0	1	0	0	0	0	0
886	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
887	2	1.76771958431332	47	49	50	51	52	53		0	1	0	1	1	1	1	1
888	1	1.95093955253122	48							0	0	1	0	0	0	0	0
889	2	2.59159403270815	47	49	50	51	52	53		0	1	0	1	1	1	1	1
890	12	5.30897069831795	49							0	0	0	1	0	0	0	0
891	0	3.50643858468651	46							1	0	0	0	0	0	0	0
892	1	0.853698082605347	48							0	0	1	0	0	0	0	0
893	2	1.38404972406702	47	49	50	51	52	53		0	1	0	1	1	1	1	1
894	2	2.97724523505013	47	49	50	51	52	53		0	1	0	1	1	1	1	1
895	1	0.390429099802156	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
896	1	7.18110458326382	48							0	0	1	0	0	0	0	0
897	11	10	47							0	1	0	0	0	0	0	0
898	1	1.18016849463241	48							0	0	1	0	0	0	0	0
899	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
900	1	0.485200001757548	48							0	0	1	0	0	0	0	0
901	2	1.72850938757275	47	49	50	51	52	53		0	1	0	1	1	1	1	1
902	2	2.80184838342577	47	49	50	51	52	53		0	1	0	1	1	1	1	1
903	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
904	2	2	47	49	50	51	52	53		0	1	0	1	1	1	1	1
905	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
906	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
907	1	8.1187987217493	48							0	0	1	0	0	0	0	0
908	0	3.84014628494765	46							1	0	0	0	0	0	0	0
909	0	2.83794677752577	46							1	0	0	0	0	0	0	0
910	1	1.96818677538842	48							0	0	1	0	0	0	0	0
911	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
912	1	7.64822642488674	48							0	0	1	0	0	0	0	0
913	12	5.05801214379047	49							0	0	0	1	0	0	0	0
914	0	2.74447360430251	46							1	0	0	0	0	0	0	0
915	1	8.639864071701	48							0	0	1	0	0	0	0	0
916	1	4	48							0	0	1	0	0	0	0	0
917	1	7.40335930672694	48							0	0	1	0	0	0	0	0
918	11	8.50911509075492	47							0	1	0	0	0	0	0	0
919	2	1.36166022864927	47	49	50	51	52	53		0	1	0	1	1	1	1	1
920	1	2.37457377327488	48							0	0	1	0	0	0	0	0
921	1	7.89714397961601	48							0	0	1	0	0	0	0	0
922	2	1.89005121943878	47	49	50	51	52	53		0	1	0	1	1	1	1	1
923	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
924	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
925	1	3.5061539619682	48							0	0	1	0	0	0	0	0
926	1	1.65799836025174	48							0	0	1	0	0	0	0	0
927	1	9	48							0	0	1	0	0	0	0	0
928	1	9	48							0	0	1	0	0	0	0	0
929	2	2.50185064032261	47	49	50	51	52	53		0	1	0	1	1	1	1	1
930	1	3	48							0	0	1	0	0	0	0	0
931	1	7.58895889590545	48							0	0	1	0	0	0	0	0
932	1	7.19464048421723	48							0	0	1	0	0	0	0	0
933	0	3.04634519980893	46							1	0	0	0	0	0	0	0
934	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
935	0	1.43602890345141	46							1	0	0	0	0	0	0	0
936	12	5.28928103178367	49							0	0	0	1	0	0	0	0
937	1	0.707093489420128	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
938	1	8	48							0	0	1	0	0	0	0	0
939	1	0.392706675935038	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
940	0	3.30778665550069	46							1	0	0	0	0	0	0	0
941	0	3	46							1	0	0	0	0	0	0	0
942	1	2.40083540635955	48							0	0	1	0	0	0	0	0
943	11	10.5292394756318	47							0	1	0	0	0	0	0	0
944	1	4	48							0	0	1	0	0	0	0	0
945	2	1	46							1	0	0	0	0	0	0	0
946	12	5.62569994224639	49							0	0	0	1	0	0	0	0
947	1	7.97492780686695	48							0	0	1	0	0	0	0	0
948	1	1	48							0	0	1	0	0	0	0	0
949	1	3.58849464118112	48							0	0	1	0	0	0	0	0
950	1	8	48							0	0	1	0	0	0	0	0
951	0	1.17445173382558	46							1	0	0	0	0	0	0	0
952	11	13.3357695402313	47							0	1	0	0	0	0	0	0
953	1	8.76407785187739	48							0	0	1	0	0	0	0	0
954	0	3.10648139642486	46							1	0	0	0	0	0	0	0
955	2	1.71373963798316	47	49	50	51	52	53		0	1	0	1	1	1	1	1
956	1	2.11961759361252	48							0	0	1	0	0	0	0	0
957	11	10.5228994457279	47							0	1	0	0	0	0	0	0
958	4	5.36473293922943	50	51	53					0	0	0	0	1	1	0	1
959	2	2.21631311245478	47	49	50	51	52	53		0	1	0	1	1	1	1	1
960	1	8.668868692386	48							0	0	1	0	0	0	0	0
961	1	5.83174396985097	48							0	0	1	0	0	0	0	0
962	1	6	48							0	0	1	0	0	0	0	0
963	12	5.85375256325167	49							0	0	0	1	0	0	0	0
964	0	4	46							1	0	0	0	0	0	0	0
965	1	4.52965054854019	48							0	0	1	0	0	0	0	0
966	12	5.24961800606221	49							0	0	0	1	0	0	0	0
967	1	0.0995952828443611	48							0	0	1	0	0	0	0	0
968	2	2.64986437019146	47	49	50	51	52	53		0	1	0	1	1	1	1	1
969	1	4.74693044518416	48							0	0	1	0	0	0	0	0
970	1	3.15251756981788	48							0	0	1	0	0	0	0	0
971	0	2.31432419236542	46							1	0	0	0	0	0	0	0
972	10	12	52							0	0	0	0	0	0	1	0
973	1	4	48							0	0	1	0	0	0	0	0
974	1	6.7289639082277	48							0	0	1	0	0	0	0	0
975	0	3	46							1	0	0	0	0	0	0	0
976	1	1.88232495541251	48							0	0	1	0	0	0	0	0
977	0	1.73727023782335	46							1	0	0	0	0	0	0	0
978	2	2	47	49	50	51	52	53		0	1	0	1	1	1	1	1
979	12	6	49							0	0	0	1	0	0	0	0
980	12	4.78631781056837	49							0	0	0	1	0	0	0	0
981	1	3.32291566296385	48							0	0	1	0	0	0	0	0
982	12	5.442310200213	49							0	0	0	1	0	0	0	0
983	1	8.44616332161981	48							0	0	1	0	0	0	0	0
984	12	5.56153859583833	49							0	0	0	1	0	0	0	0
985	0	2	46							1	0	0	0	0	0	0	0
986	12	7.61853814249035	49							0	0	0	1	0	0	0	0
987	1	2.45785479491692	48							0	0	1	0	0	0	0	0
988	10	9.01652405445224	52							0	0	0	0	0	0	1	0
989	1	6.37936957011016	48							0	0	1	0	0	0	0	0
990	0	2.3136107883912	46							1	0	0	0	0	0	0	0
991	11	9.22755478198196	47							0	1	0	0	0	0	0	0
992	1	4	48							0	0	1	0	0	0	0	0
993	1	4	48							0	0	1	0	0	0	0	0
994	12	5.19790799138742	49							0	0	0	1	0	0	0	0
995	1	2.78819163461524	48							0	0	1	0	0	0	0	0
996	1	3.33885073427896	48							0	0	1	0	0	0	0	0
997	1	6	48							0	0	1	0	0	0	0	0
998	11	9	47							0	1	0	0	0	0	0	0
999	11	10.131659910236	47							0	1	0	0	0	0	0	0
1000	1	6.80152142332304	48							0	0	1	0	0	0	0	0
1001	1	6.88966985573802	48							0	0	1	0	0	0	0	0
1002	8	10	53							0	0	0	0	0	0	0	1
1003	1	3.49266605954386	48							0	0	1	0	0	0	0	0
1004	12	5.15823649024404	49							0	0	0	1	0	0	0	0
1005	2	2.94845441215683	47	49	50	51	52	53		0	1	0	1	1	1	1	1
1006	11	10	47							0	1	0	0	0	0	0	0
1007	10	9	52							0	0	0	0	0	0	1	0
1008	1	4	48							0	0	1	0	0	0	0	0
1009	1	6	48							0	0	1	0	0	0	0	0
1010	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
1011	12	8.00927687213155	49							0	0	0	1	0	0	0	0
1012	1	1	48							0	0	1	0	0	0	0	0
1013	1	2.91949059298148	48							0	0	1	0	0	0	0	0
1014	2	2.97333837879913	47	49	50	51	52	53		0	1	0	1	1	1	1	1
1015	2	2.08290437917442	47	49	50	51	52	53		0	1	0	1	1	1	1	1
1016	11	8.6172795808592	47							0	1	0	0	0	0	0	0
1017	0	1.27443292029167	46							1	0	0	0	0	0	0	0
1018	1	8.09614453864722	48							0	0	1	0	0	0	0	0
1019	2	2.83003218299562	47	49	50	51	52	53		0	1	0	1	1	1	1	1
1020	1	1.61555365484499	48							0	0	1	0	0	0	0	0
1021	10	8.13364202360975	52							0	0	0	0	0	0	1	0
1022	11	10.5981974152296	47							0	1	0	0	0	0	0	0
1023	1	0.341963013250636	48							0	0	1	0	0	0	0	0
1024	12	6.73776623230268	49							0	0	0	1	0	0	0	0
1025	1	8.79900848608382	48							0	0	1	0	0	0	0	0
1026	1	1.23903880546932	48							0	0	1	0	0	0	0	0
1027	1	3.62124847111369	48							0	0	1	0	0	0	0	0
1028	11	10.4464454023778	47							0	1	0	0	0	0	0	0
1029	10	8	52							0	0	0	0	0	0	1	0
1030	1	1.32677030971568	48							0	0	1	0	0	0	0	0
1031	2	2	47	49	50	51	52	53		0	1	0	1	1	1	1	1
1032	0	3.17517203364606	46							1	0	0	0	0	0	0	0
1033	2	2.28666519323886	47	49	50	51	52	53		0	1	0	1	1	1	1	1
1034	0	1.46829018658075	46							1	0	0	0	0	0	0	0
1035	12	5	49							0	0	0	1	0	0	0	0
1036	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
1037	0	2.99043775240479	46							1	0	0	0	0	0	0	0
1038	1	0.535874455205086	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
1039	0	1.73816891475078	46							1	0	0	0	0	0	0	0
1040	0	1.29454083664534	46							1	0	0	0	0	0	0	0
1041	0	3.19206249809111	46							1	0	0	0	0	0	0	0
1042	1	8.26952999519086	48							0	0	1	0	0	0	0	0
1043	1	0.270744782404041	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
1044	0	3.90145435230125	46							1	0	0	0	0	0	0	0
1045	2	2.4882775324887	47	49	50	51	52	53		0	1	0	1	1	1	1	1
1046	0	1.78621666352581	46							1	0	0	0	0	0	0	0
